Area,MMWR WEEK,All causes  by age (years)  All Ages,All causes  by age (years)  All Ages  flag,All causes  by age (years)  GE 65,All causes  by age (years)  GE 65  flag,All causes  by age (years)  45дус64,All causes  by age (years)  45дус64  flag,All causes  by age (years)  25дус44,All causes  by age (years)  25дус44  flag,All causes  by age (years)  1дус24,All causes  by age (years)  1дус24  flag,All causes  by age (years)  LT 1,Total
New England,1,517,,373,,108,,23,,5,,8,36
Mid. Atlantic,1,2026,,1411,,455,,110,,34,,15,118
E.N. Central,1,1453,,983,,330,,94,,27,,19,89
W.N. Central,1,543,,354,,131,,32,,11,,15,51
S. Atlantic,1,966,,610,,252,,66,,14,,24,73
E.S. Central,1,753,,462,,205,,52,,20,,14,61
W.S. Central,1,1267,,824,,317,,89,,23,,14,69
Mountain,1,1135,,809,,240,,60,,18,,8,75
Pacific,1,1649,,1181,,337,,80,,36,,15,139
Total,1,10309,,7007,,2375,,606,,188,,132,711
