"Reporting.Area","MMWR.YEAR","MMWR.WEEK","All.causes.by.age..years..All.Ages","All.causes.by.age..years..All.Ages.flag","All.causes.by.age..years..GE.65","All.causes.by.age..years..GE.65.flag","All.causes.by.age..years..45.ÛÒ64","All.causes.by.age..years..45.ÛÒ64.flag","All.causes.by.age..years..25.ÛÒ44","All.causes.by.age..years..25.ÛÒ44.flag","All.causes.by.age..years..1.ÛÒ24","All.causes.by.age..years..1.ÛÒ24.flag","All.causes.by.age..years..LT.1","All.causes.by.age..years..LT.1.flag","Total","Location.1"
"1","Boston MA",2014,1,108,"",77,"",18,"",7,"",2,"",4,"",6,"Boston MA
 (42.35866170200046 71.05673887699965)"
"2","San Antonio TX",2014,1,25,"",18,"",7,"",NA,"",NA,"",NA,"",2,"San Antonio TX
 (29.42458351300047 98.49460914499969)"
"3","Pasadena CA",2014,1,27,"",22,"",1,"",2,"",2,"",NA,"",3,"Pasadena CA
 (34.14745413100047 118.14426554199969)"
"4","Portland OR",2014,1,112,"",74,"",30,"",7,"",1,"",NA,"",1,"Portland OR
 (45.511787169000456 122.6756275729997)"
"5","Peoria IL",2014,1,56,"",41,"",12,"",3,"",NA,"",NA,"",2,"Peoria IL
 (40.69214397400049 89.58775824399964)"
"6","Camden NJ",2014,1,22,"",13,"",7,"",1,"",NA,"",1,"",3,"Camden NJ
 (39.94525155200046 75.11912817799964)"
"7","Savannah GA",2014,1,41,"",24,"",11,"",4,"",NA,"",2,"",3,"Savannah GA
 (32.080912122000484 81.09118590699967)"
"8","South Bend IN",2014,1,27,"",22,"",2,"",1,"",NA,"",2,"",2,"South Bend IN
 (41.679051856000456 86.25403946499966)"
"9","Lowell MA",2014,1,26,"",18,"",7,"",1,"",NA,"",NA,"",3,"Lowell MA
 (42.64588438700048 71.31283694999962)"
"10","Mobile AL",2014,1,84,"",61,"",16,"",5,"",1,"",1,"",8,"Mobile AL
 (30.686391968000464 88.05323763099966)"
"11","Cincinnati OH",2014,1,64,"",37,"",17,"",6,"",3,"",1,"",2,"Cincinnati OH
 (39.10713351400045 84.50412975199964)"
"12","Elizabeth NJ",2014,1,22,"",12,"",10,"",NA,"",NA,"",NA,"",1,"Elizabeth NJ
 (40.66351147400047 74.21145875999963)"
"13","Fall River MA",2014,1,20,"",17,"",3,"",NA,"",NA,"",NA,"",4,"Fall River MA
 (41.697354146000464 71.14364572399967)"
"14","Bridgeport CT",2014,1,42,"",28,"",12,"",2,"",NA,"",NA,"",2,"Bridgeport CT
 (41.1818843100005 73.19126911399962)"
"15","Scranton PA",2014,1,36,"",29,"",7,"",NA,"",NA,"",NA,"",1,"Scranton PA
 (41.41015379200047 75.66077859599966)"
"16","Newark NJ",2014,1,53,"",25,"",18,"",5,"",5,"",NA,"",3,"Newark NJ
 (40.73197311400048 74.17420658799966)"
"17","Grand Rapids MI",2014,1,55,"",34,"",14,"",3,"",2,"",2,"",3,"Grand Rapids MI
 (42.966411166000455 85.67117986599965)"
"18","Rochester NY",2014,1,153,"",111,"",31,"",10,"",1,"",NA,"",10,"Rochester NY
 (43.15580279700049 77.61631886899966)"
"19","Lincoln NC",2014,1,43,"",32,"",10,"",NA,"",NA,"",1,"",3,"Lincoln NC
 (35.568614881000485 81.50048638499965)"
"20","Seattle WA",2014,1,111,"",81,"",23,"",6,"",NA,"",1,"",7,"Seattle WA
 (47.603567400000486 122.32944721899969)"
"21","Trenton NJ",2014,1,44,"",23,"",14,"",3,"",3,"",1,"",NA,"Trenton NJ
 (40.217883319000464 74.75939751899966)"
"22","Duluth MN",2014,1,26,"",20,"",6,"",NA,"",NA,"",NA,"",2,"Duluth MN
 (46.787958768000465 92.09984801699966)"
"23","Youngstown OH",2014,1,58,"",46,"",11,"",1,"",NA,"",NA,"",2,"Youngstown OH
 (41.09810376900049 80.65078761499967)"
"24","San Diego CA",2014,1,166,"",125,"",25,"",8,"",6,"",2,"",12,"San Diego CA
 (32.71569073700044 117.16171662299968)"
"25","Denver CO",2014,1,67,"",45,"",16,"",5,"",1,"",NA,"",1,"Denver CO
 (39.74001401400045 104.9922972059997)"
"26","Pueblo CO",2014,1,26,"",18,"",7,"",NA,"",1,"",NA,"",5,"Pueblo CO
 (38.26386153800047 104.61236614299969)"
"27","Fresno CA",2014,1,137,"",93,"",28,"",9,"",5,"",2,"",16,"Fresno CA
 (36.74068048300046 119.78572815899969)"
"28","Los Angeles CA",2014,1,224,"",144,"",58,"",13,"",6,"",3,"",23,"Los Angeles CA
 (34.05349076500045 118.24531669099969)"
"29","Honolulu HI",2014,1,64,"",51,"",9,"",2,"",1,"",1,"",11,"Honolulu HI
 (21.30485166200043 157.85774691599974)"
"30","New Orleans LA",2014,1,33,"",24,"",9,"",NA,"",NA,"",NA,"",1,"New Orleans LA
 (29.953701909000472 90.07774868499968)"
